ST_NM,year,rain_mean_mm
Chandigarh,1973,973.111415207386
Chandigarh,1974,636.3054151087999
Chandigarh,1975,731.1224901676178
Chandigarh,1976,1141.6455377489328
Chandigarh,1977,277.61203350126743
Chandigarh,1978,1619.5160729587078
Chandigarh,1979,961.2290790453553
Chandigarh,1980,1059.8973758891225
Chandigarh,1981,1159.6463538706303
Chandigarh,1982,1311.3107258230448
Chandigarh,1983,1269.8928771913052
Chandigarh,1984,1027.5962645709515
Chandigarh,1985,1771.6549413949251
Chandigarh,1986,1241.6511298045516
Chandigarh,1987,990.7779175713658
Chandigarh,1988,1894.083713427186
Chandigarh,1989,1361.1159139350057
Chandigarh,1990,1925.584511294961
Chandigarh,1991,1093.6997038275003
Chandigarh,1992,1206.7432756721973
Chandigarh,1993,907.2308471649885
Chandigarh,1994,1327.3400001823902
Chandigarh,1995,1328.4702130407095
Chandigarh,1996,1440.0432878136635
Chandigarh,1997,1363.0104565247893
Chandigarh,1998,1438.1883561313152
Chandigarh,1999,1600.9281597137451
Chandigarh,2000,1243.1289034634829
Chandigarh,2001,1199.1332258060575
Chandigarh,2002,852.9067426994443
Chandigarh,2003,1352.1521679237485
Chandigarh,2004,850.533635944128
Chandigarh,2005,815.7165748029947
Chandigarh,2006,897.021963365376
Chandigarh,2007,1492.0158006995916
Chandigarh,2008,1449.6106003150344
Chandigarh,2009,1041.526791036129
Chandigarh,2010,1301.3822290301323
Chandigarh,2011,1515.4099419862032
Chandigarh,2012,1004.1745860725641
Chandigarh,2013,1025.8533013686538
Chandigarh,2014,819.2243755087256
Chandigarh,2015,824.4009547606111
Chandigarh,2016,575.253390185535
Chandigarh,2017,896.0250523537397
Chandigarh,2018,1078.2205705493689
Chandigarh,2019,934.745684735477
Chandigarh,2020,924.9763486087322
Chandigarh,2021,847.5790978744626
Chandigarh,2022,1258.1113435551524
Chandigarh,2023,1563.0754800569266
Chandigarh,2024,860.5098876953125
Chhattisgarh,1966,1068.3725828424488
Chhattisgarh,1967,1461.6126356202913
Chhattisgarh,1968,1195.820777977846
Chhattisgarh,1969,1210.1933528770348
Chhattisgarh,1970,1431.661195049631
Chhattisgarh,1971,1474.136828902599
Chhattisgarh,1972,1149.8959525618113
Chhattisgarh,1973,1448.1344877204222
Chhattisgarh,1974,931.4904767469748
Chhattisgarh,1975,1428.5308006542687
Chhattisgarh,1976,1269.462074798424
Chhattisgarh,1977,1385.9291045943764
Chhattisgarh,1978,1355.717657716337
