YEAR,State,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
1971,Andhra Pradesh,4.6,31.2,32.7,131.79999999999998,140.4,121.7,160.3,303.8,312.7,349.6,41.8,23.8,1654.3000000000002,35.7,304.9,898.5,415.1
1972,Andhra Pradesh,3.2,33.2,0,45.900000000000006,109.9,235.89999999999998,152.1,108.19999999999999,323.1,542.3,195.1,105.6,1854.5,36.4,155.8,819.1999999999999,843.0999999999999
1973,Andhra Pradesh,0,0.4,12.1,2.6,75.4,124.4,239,328.6,274.4,397.79999999999995,57.7,36,1548.6,0.4,90.1,966.5,491.5
1974,Andhra Pradesh,0.1,1.5,11.2,20.7,96.6,187.7,220.8,201.3,399.20000000000005,468.29999999999995,65.8,0,1673.4,1.6,128.7,1009.0999999999999,534.1
1975,Andhra Pradesh,1,10.6,5.2,6.4,80.3,246.7,331.1,344.6,387.5,646.3,168.6,5.6,2234,11.6,91.9,1309.9,820.5
1976,Andhra Pradesh,0.9,1.1,2.7,34.4,51.5,148.8,333.7,418.1,142.3,219.2,549.7,4.7,1907.3,2,88.6,1043,773.7
1977,Andhra Pradesh,1.9,0.4,3.4000000000000004,85,172.8,211.1,237.1,317,163.6,338,465,4,1999.4,2.3,261.3,928.6,807.0999999999999
1978,Andhra Pradesh,10.7,25.4,12.7,60,52,228.39999999999998,323.1,351.8,390.4,157.8,197.60000000000002,97.4,1907.6,36.2,124.69999999999999,1293.8,452.9
1979,Andhra Pradesh,3.8000000000000003,49.599999999999994,0.1,22.2,221.7,158.4,169.5,175.2,388.5,113.7,417.20000000000005,27.8,1747.5,53.3,244,891.4000000000001,558.7
1980,Andhra Pradesh,0.5,2.4,7.1,22.700000000000003,61,275.8,248.8,287.2,190.9,243.6,207.1,41.3,1588.5,2.9,90.9,1002.6,492
1981,Andhra Pradesh,23.9,0.1,51.9,25.6,101.6,161.1,282,264.7,474,231.39999999999998,55.6,42.7,1714.5,23.9,179.2,1181.6,329.7
1982,Andhra Pradesh,2.5,0.5,8.1,48.8,84.9,171.10000000000002,223.89999999999998,180.5,241.2,338.4,183.9,0.1,1484.1,3,141.9,816.7,522.4
1983,Andhra Pradesh,0.1,18.3,8.5,13.5,110.80000000000001,201.8,298.1,457.1,531.7,357.79999999999995,43.5,97.7,2139,18.4,132.8,1488.8,499.2
1984,Andhra Pradesh,12.2,90.8,30.2,38.9,31.299999999999997,116.89999999999999,381.1,142.2,285.70000000000005,191.1,148.5,49.4,1518.2,103,100.5,925.9,389
1985,Andhra Pradesh,60.400000000000006,0.4,5.9,18.9,31.599999999999998,157.2,332.9,257.1,160.89999999999998,369.29999999999995,172.79999999999998,86.1,1653.4,60.8,56.400000000000006,908,628.2
1986,Andhra Pradesh,101.4,40.4,2.2,35.8,61.1,159.7,161.9,390.9,202.2,227.5,193.7,14,1590.6,141.7,99.10000000000001,914.7,435.1
1987,Andhra Pradesh,26,0.2,35.9,24.799999999999997,81.6,132.5,128.5,317.9,191.4,443.4,363.9,103.10000000000001,1849.4,26.200000000000003,142.4,770.5,910.4
1988,Andhra Pradesh,0.6,17.099999999999998,6.3,81.4,122.5,93,491.4,487.4,463.6,121.39999999999999,67.1,55.3,2007.1,17.8,210.2,1535.4,243.8
1989,Andhra Pradesh,0.1,0.1,62.8,9.5,55.9,178.70000000000002,574.8,262.1,336.4,106.7,88.9,47.7,1723.7,0.2,128.1,1352.1,243.3
1990,Andhra Pradesh,12.4,86.6,101.4,32.3,646.5,156.3,164.8,323.29999999999995,343.2,434.7,225.3,15.2,2541.8,99,780.2,987.5,675.2
1991,Andhra Pradesh,31.1,3.3,12.8,44.2,56.9,403.1,225.10000000000002,236,365.6,339.7,352,20,2089.6,34.3,113.9,1229.8,711.6
1992,Andhra Pradesh,20.8,4.3,0,26.200000000000003,87,114.89999999999999,298.9,297.1,219.3,236.8,287.1,4.6,1597,25.099999999999998,113.2,930.3,528.4
1993,Andhra Pradesh,2.2,16.5,33.6,37.900000000000006,121,115.1,275.7,223,300.9,368.9,149.8,112,1756.8000000000002,18.7,192.5,914.9,630.8
1994,Andhra Pradesh,12.5,30.599999999999998,5.2,55.7,93,96.9,309.8,264.3,175,465,314.5,22.900000000000002,1845.6,43.2,154,846,802.4000000000001
1995,Andhra Pradesh,55.6,7.3,24.8,30.200000000000003,394.20000000000005,149.4,381.4,394.79999999999995,222.6,460.5,95.1,10.399999999999999,2226.3,63,449.20000000000005,1148.2,565.9
1996,Andhra Pradesh,3.4,6.7,6.800000000000001,60.3,56.7,507.5,279.1,409,370.6,519.2,113.2,156,2488.6000000000004,10.200000000000001,123.80000000000001,1566.1999999999998,788.4000000000001
1997,Andhra Pradesh,31.6,7,36.599999999999994,96.2,61.400000000000006,136.8,196.8,208.8,522.9,187.39999999999998,197,124.5,1807.1,38.599999999999994,194.2,1065.2,508.9
1998,Andhra Pradesh,12.799999999999999,38.800000000000004,29,71.6,62.6,189,340.6,416.9,457.5,325.2,269.9,44.7,2258.9,51.599999999999994,163.2,1404.1,639.8
1999,Andhra Pradesh,0.9,7.8,0.7,22.1,143.1,184,204.79999999999998,234,200.8,254.10000000000002,98.1,12,1362.3000000000002,8.6,165.8,823.5,364.29999999999995
2000,Andhra Pradesh,0.1,76.69999999999999,0.8999999999999999,41.2,142.2,293.2,248.8,553,205.8,204.29999999999998,48.300000000000004,49.1,1863.6,76.8,184.39999999999998,1300.6999999999998,301.7
2001,Andhra Pradesh,12.3,3.8,26.5,122.30000000000001,75.3,141.2,193.1,266.5,382.7,548.5,119.7,42.2,1933.8,16.1,224,983.5,710.3
2002,Andhra Pradesh,53.6,3.2,15,52.3,90,206,117.6,243.3,149.9,316.2,58.5,12.9,1318.4,56.8,157.3,716.6,387.6
2003,Andhra Pradesh,6.2,20.7,66.80000000000001,34.4,16.299999999999997,161.4,425.1,274.70000000000005,255.1,427.8,23.2,110.69999999999999,1822.3,26.900000000000002,117.5,1116.3,561.7
2004,Andhra Pradesh,34.2,15.7,24.5,75.2,207.29999999999998,192.60000000000002,315,148.1,255.39999999999998,272.3,75,0.2,1615.3000000000002,49.8,307,911,347.6
2005,Andhra Pradesh,14.9,21.6,32.099999999999994,70.7,96.8,139.3,284.7,212.5,525.7,602.8,201,85.9,2288,36.5,199.6,1162.2,889.6
2006,Andhra Pradesh,0.2,0,63.5,67.7,130.3,217.8,170,351.7,368.79999999999995,273.8,133.89999999999998,20,1797.6999999999998,0.2,261.5,1108.3,427.7
2007,Andhra Pradesh,0,5.6,0.2,14.5,28.1,508.3,224.8,351.3,473.1,344.6,47.199999999999996,82.3,2079.8,5.6,42.8,1557.5,474
2008,Andhra Pradesh,9.600000000000001,80.3,156.7,22.6,77,151.5,289.9,381.1,288.5,177.6,263.5,7.1000000000000005,1905.5,89.9,256.2,1111.2,448.09999999999997
2009,Andhra Pradesh,0.5,0,11,14.8,100.4,141.5,174.10000000000002,292,307.70000000000005,161.89999999999998,238.2,36.699999999999996,1478.7,0.5,126.19999999999999,915.1999999999999,436.8
2010,Andhra Pradesh,26.5,3.0999999999999996,5,27.8,227.4,264.4,506.5,403.6,353.4,287.4,386,184.89999999999998,2675.9,29.6,260.2,1527.8,858.3
2011,Andhra Pradesh,0.8,30,0.9,96.9,100.9,131.3,324.9,379.4,200.89999999999998,182.1,111.80000000000001,40.1,1599.9,30.7,198.79999999999998,1036.6,333.8
2012,Andhra Pradesh,40.300000000000004,0,5.2,56.7,78.1,142.4,361.6,341.2,316,253.7,376.29999999999995,61.9,2033.4,40.300000000000004,140.1,1161.2,691.8
2013,Andhra Pradesh,3.3,60.2,11.7,74.8,67.1,201.3,258.1,233.39999999999998,295.2,580.8,91.7,5.4,1883.1,63.599999999999994,153.7,988,677.9
2014,Andhra Pradesh,0.6000000000000001,1.9,21.6,11.1,159.60000000000002,112,220.5,292.9,225.9,300.2,61.5,19.200000000000003,1426.6999999999998,2.4,192.2,851.2,380.9
2015,Andhra Pradesh,3.9,0.6,18.9,105.7,73.80000000000001,356.8,159.1,315.6,338.1,166.4,465,54.2,2058,4.4,198.3,1169.6,685.5999999999999
2016,Andhra Pradesh,9.5,0.9,4.4,3.4,201.3,317.7,262.5,165.9,315.2,73.8,18.5,91.3,1464.3,10.4,209.10000000000002,1061.3,183.60000000000002
2017,Andhra Pradesh,4.9,0,25.200000000000003,17.6,70.7,238.5,205.39999999999998,395.79999999999995,336.4,344.1,80,8.6,1727.2,4.9,113.5,1176,432.70000000000005
1916,Arunachal Pradesh,48.1,69.8,71.1,316.1,424.6,1124.9,0,629.7,333.9,0,0,0,0,117.9,811.8,0,0
1917,Arunachal Pradesh,21.4,164.5,0,269.6,107.9,823.8,909.1,628.4,411.5,199.3,63.5,0,0,185.9,0,2772.8,262.8
1918,Arunachal Pradesh,10.4,11,191.2,144.6,861.1,1609.9,1303,692.6,515.8,125.2,7.8,13.7,5486.3,21.4,1196.9,4121.3,146.7
1919,Arunachal Pradesh,34.5,67.8,28.5,256.9,420.6,973.6,999,286.7,628.7,948.3,40.7,8.6,4693.9,102.3,706,2888,997.6
1920,Arunachal Pradesh,14,196.3,605.6,364.7,173.6,840.6,535.4,896.5,376.7,103.3,0,0,4106.7,210.3,1143.9,2649.2,103.3
1921,Arunachal Pradesh,78.9,54.3,180.3,358,598,1233.2,1433,885.9,603.4,246.3,4.6,15.5,5691.4,133.2,1136.3,4155.5,266.4
1922,Arunachal Pradesh,50.7,59.4,170.4,299.5,350.5,1109.3,918.7,488.3,207.6,483.5,30.3,19,4187.2,110.1,820.4,2723.9,532.8
1923,Arunachal Pradesh,9.4,160.8,34,240.9,445.4,408.6,1278.5,251.3,617.3,50.1,8.4,2.8,3507.5,170.2,720.3,2555.7,61.3
1924,Arunachal Pradesh,85.7,45.1,74.1,162.4,515.7,1165,942.7,713.8,410.8,303.3,31.9,0,4450.5,130.8,752.2,3232.3,335.2
1925,Arunachal Pradesh,80.6,114,143.3,223,587.2,611.6,611,684.7,1222,153.2,5.1,4.1,4439.8,194.6,953.5,3129.3,162.4
1926,Arunachal Pradesh,38.1,40.8,179.1,249.7,248.1,675.2,978.7,445.6,286.9,311.5,18.6,49.3,3521.6,78.9,676.9,2386.4,379.4
1927,Arunachal Pradesh,48.3,208.5,88.1,384,164,1045.4,923.2,727.8,1108.9,537.2,17.8,0,5253.2,256.8,636.1,3805.3,555
1928,Arunachal Pradesh,48.9,39.7,118.2,123.4,431.9,1168.3,993.6,981.2,706.1,633.5,25.6,2.3,5272.7,88.6,673.5,3849.2,661.4
1929,Arunachal Pradesh,144.8,59.2,124.3,492.3,615.8,853,614.4,670,384.3,188,64.5,109.5,4320.2,204.1,1232.4,2521.8,362
1930,Arunachal Pradesh,64.4,84.3,202.5,565.4,148.9,720.9,376.2,1055.5,637,361.1,93.2,24.9,4334.1,148.7,916.8,2789.5,479.1
1931,Arunachal Pradesh,61.3,189.7,231.6,502.7,277.7,1149.4,1399.9,337.7,480.7,157.4,37.8,46.2,4872.1,251,1012,3367.7,241.3
1932,Arunachal Pradesh,70.2,110.3,105.5,282.7,661.6,1065.2,521.2,907.8,682.9,152.2,231.4,59.9,4850.9,180.5,1049.8,3177.1,443.5
1933,Arunachal Pradesh,56,59.4,101.6,267.9,435.3,782.1,743.2,685.2,376.1,217.9,40.6,8.1,3773.3,115.4,804.8,2586.5,266.6
1934,Arunachal Pradesh,84.9,88.3,128.3,595.1,454.5,1024.6,935.9,640.9,382.6,141.6,77,21.9,4575.7,173.2,1177.9,2984,240.6
1935,Arunachal Pradesh,18.1,143.6,169.7,211.2,299.9,1147.1,489.9,968.8,631.6,21.8,44.4,27.4,4173.7,161.8,680.9,3237.5,93.6
1936,Arunachal Pradesh,105.9,175.2,151.7,374.7,295.7,833.1,1132.8,668.4,584.3,216.5,122.8,127.6,4788.9,281.1,822.2,3218.6,467
1937,Arunachal Pradesh,19.9,105.6,91.2,261,399,456.4,611.6,816.9,339.7,239.8,16.7,17.3,3375.1,125.5,751.2,2224.6,273.8
